PULocationID,hour,day_of_week,is_weekend,predicted_total,predicted_long,predicted_long_rate,LocationID,Borough,Zone,recommendation_score
132,4,3,0,20.33005371410504,20.33005371410504,1.0,132,Queens,JFK Airport,20.33005371410504
79,4,3,0,68.81710073977052,13.094062043622543,0.19027337540907577,79,Manhattan,East Village,13.094062043622543
230,4,3,0,22.552814728339357,11.638252766050828,0.5160443566020371,230,Manhattan,Times Sq/Theatre District,11.638252766050828
148,4,3,0,50.96726310228906,10.321511841617546,0.20251257794444888,148,Manhattan,Lower East Side,10.321511841617546
48,4,3,0,35.68445180029256,9.711691029062974,0.2721546931255745,48,Manhattan,Clinton East,9.711691029062974
249,4,3,0,30.70118104306178,8.176162128806903,0.26631425407833453,249,Manhattan,West Village,8.176162128806903
90,4,3,0,21.87585559656183,6.475832357958912,0.29602647217038225,90,Manhattan,Flatiron,6.475832357958912
164,4,3,0,22.801385307342567,5.77453400499249,0.25325364784449994,164,Manhattan,Midtown South,5.77453400499249
37,4,3,0,12.495871254398985,5.610665552320235,0.44900154923932045,37,Brooklyn,Bushwick South,5.610665552320235
161,4,3,0,9.056566867369124,5.365967691581752,0.592494680397643,161,Manhattan,Midtown Center,5.365967691581752
68,4,3,0,22.593597562736992,5.097891853118318,0.2256343567668981,68,Manhattan,East Chelsea,5.097891853118318
114,4,3,0,18.999740134369404,4.837816139048795,0.2546253846018384,114,Manhattan,Greenwich Village South,4.837816139048795
107,4,3,0,18.999740134369404,4.837816139048795,0.2546253846018384,107,Manhattan,Gramercy,4.837816139048795
80,4,3,0,9.287053231870079,4.778201840788832,0.5145013947364522,80,Brooklyn,East Williamsburg,4.778201840788832
231,4,3,0,15.448862119914127,4.5538927296578455,0.2947720482136815,231,Manhattan,TriBeCa/Civic Center,4.5538927296578455
144,4,3,0,26.784233435663868,4.534864849453508,0.16931098141547796,144,Manhattan,Little Italy/NoLiTa,4.534864849453508
163,4,3,0,9.909352713694167,4.406986863324579,0.4447300434905674,163,Manhattan,Midtown North,4.406986863324579
42,4,3,0,6.6681421053581955,4.406986863324579,0.6609017614941556,42,Manhattan,Central Harlem North,4.406986863324579
234,4,3,0,17.901927575538632,4.378109915642651,0.24456081040261513,234,Manhattan,Union Sq,4.378109915642651
157,4,3,0,8.378803196315946,4.351127424735182,0.5193017812673196,157,Queens,Maspeth,4.351127424735182
36,4,3,0,9.853536540022343,4.205473278651514,0.4267983643811583,36,Brooklyn,Bushwick North,4.205473278651514
246,4,3,0,20.249872673494654,4.176793582158465,0.2062627083885584,246,Manhattan,West Chelsea/Hudson Yards,4.176793582158465
170,4,3,0,11.434904109303274,4.03387538280483,0.3527686235272342,170,Manhattan,Murray Hill,4.03387538280483
145,4,3,0,6.120092087574972,3.9175186138676352,0.6401077888715094,145,Queens,Long Island City/Hunters Point,3.9175186138676352
